Order ID,Date,Customer ID,Item Code,Dish,Category,Quantity,Unit Price (₦),Discount %,Revenue (₦),Unit Cost (₦),Total Cost (₦),Gross Profit (₦),Order Channel,Payment Method,Meal Period,Hour,Rating
ORD-00091,46023,CUST-0083,FD003,Fried Rice & Chicken,Rice Meals,2,3000,0,6000,1580,3160,2840,Takeaway,POS,Dinner,20,
ORD-00465,46023,CUST-0299,FD002,Jollof Rice & Chicken,Rice Meals,1,2800,0,2800,1450,1450,1350,Walk-in,Cash,Breakfast,9,3
ORD-00525,46023,CUST-0359,FD002,Jollof Rice & Chicken,Rice Meals,2,2800,0,5600,1450,2900,2700,Takeaway,Transfer,Dinner,18,4
ORD-00664,46023,CUST-0399,FD003,Fried Rice & Chicken,Rice Meals,3,3000,0,9000,1580,4740,4260,Walk-in,POS,Lunch,11,5
ORD-00696,46023,CUST-0184,FD011,Bottled Water,Beverages,1,300,0,300,120,120,180,Walk-in,POS,Dinner,20,3
ORD-00793,46023,CUST-0382,FD002,Jollof Rice & Chicken,Rice Meals,1,2800,0,2800,1450,1450,1350,Walk-in,Transfer,Dinner,18,
ORD-01035,46023,CUST-0636,FD001,White Rice & Stew,Rice Meals,1,1800,0,1800,820,820,980,Walk-in,POS,Lunch,14,5
ORD-01098,46023,CUST-0060,FD008,Pounded Yam & Vegetable Soup,Swallow,2,3200,0,6400,1710,3420,2980,Walk-in,Transfer,Dinner,20,
ORD-01118,46023,CUST-0567,FD003,Fried Rice & Chicken,Rice Meals,2,3000,0,6000,1580,3160,2840,Walk-in,Transfer,Lunch,13,4
ORD-01419,46023,CUST-0551,FD001,White Rice & Stew,Rice Meals,2,1800,0,3600,820,1640,1960,Walk-in,Transfer,Lunch,15,5
ORD-01666,46023,CUST-0194,FD011,Bottled Water,Beverages,2,300,0,600,120,240,360,Takeaway,POS,Lunch,12,4
ORD-01680,46023,CUST-0363,FD002,Jollof Rice & Chicken,Rice Meals,4,2800,0,11200,1450,5800,5400,Delivery,POS,Dinner,20,5
